Tour Name,Type,Rating,Number of reviews,Price,Duration
451. Samurai Show Restaurant at Kanda Myoujin『THE SHOW』,Food & Drink,5.0 of 5 bubbles,2,$59.37,2–3 hours
452. Private Mount Takao Hiking Tour from Tokyo,Likely To Sell Out,5.0 of 5 bubbles,2,$57.92,6 hours
453. Private Transfer from Tokyo Cruise Port to Tokyo City Hotels,Transportation Services,4.5 of 5 bubbles,2,$86.01,45 minutes
454. Private Mount Fuji Tour - up to 9 Travelers,Full-day Tours,5.0 of 5 bubbles,1,$94.12,6+ hours
455. Private Transfer from Tokyo Haneda Airport (HND) to Yokohama Port,Transportation Services,5.0 of 5 bubbles,1,$106.10,30 minutes
"456. Tokyo Highlights, Imperial Palace, Kiyosumi Garden, Ukiyo-e Museum",Rail Tours,5.0 of 5 bubbles,1,$119.29,6–7 hours
457. Private Narita International Airport (NRT) Transfers for Tokyo 23 Wards（7Seater）,Transportation Services,5.0 of 5 bubbles,1,$137.56,60–90 minutes
458. Tokyo City Private Departure Transfers to Yokohama Port,Transportation Services,5.0 of 5 bubbles,1,$115.84,1 hour
459. Audio-Guide Tour Akihabara's Otaku Culture and TechBazaar,Walking Tours,5.0 of 5 bubbles,1,$275.12,1 hour
460. Private Tokyo Tour of the Sunshine Aquarium and 823ft Observatory,Night Tours,5.0 of 5 bubbles,1,$202.72,3 hours
461. Tokyo Layover Tour with a Local: Private and Tailored to Your Needs,City Tours,5.0 of 5 bubbles,1,$202.18,6–8 hours
462. Ueno Food Tour With A Local Master Guide Fully Customized,Food & Drink,5.0 of 5 bubbles,1,$89.99,4 hours
463. guided japanesefood tour in shibuya(tokyo),Food & Drink,5.0 of 5 bubbles,1,$61.54,2–3 hours
464. Day Trip To Historic Kawagoe From Tokyo,City Tours,5.0 of 5 bubbles,1,$324.38,6 hours
465. Samurai experience: art of the sword and their world,Sports Lessons,5.0 of 5 bubbles,1,$289.60,4 hours
466. Tokyo Tea Ceremony Experience,Food & Drink,5.0 of 5 bubbles,1,$61.54,1 hour
467. Japanese SAKE lesson & tasting at Izakaya pub,Food & Drink,5.0 of 5 bubbles,1,$218.13,2 hours
468. Minato-ku Tokyo Night Touring,Adventure Tours,5.0 of 5 bubbles,1,$94.25,2–3 hours
469. 7 Kinds of Japanese Tea Tasting Experience,Food & Drink,5.0 of 5 bubbles,1,$32.00,1–2 hours
470. A typical evening in Shinjuku,Nightlife,5.0 of 5 bubbles,1,$217.05,3 hours
471. Samurai & Ninja experience! !,Sports Lessons,5.0 of 5 bubbles,1,$181.00,1 hour
"472. Full-Day Guided Private Tour in Tokyo, Japan",Historical Tours,5.0 of 5 bubbles,1,$39.00,6–8 hours
473. Tokyo Private Tour to Learn History and Shinto,Historical Tours,5.0 of 5 bubbles,1,$25.34,6 hours
474. Kamakura flower tour,Historical Tours,5.0 of 5 bubbles,1,$129.95,7–8 hours
475. 6-Hour-Tour Tokyo Highlights,Public Transportation Tours,5.0 of 5 bubbles,1,$35.00,6 hours
476. Private Transfer to/from Tokyo Narita International Airport (NRT),Transportation Services,5.0 of 5 bubbles,1,$92.31,30–120 minutes
477. Tokyo Metropolis,Architecture Tours,5.0 of 5 bubbles,1,"$1,035.31",2–3 hours
478. Private Customizable Walking Tour of Tokyo,Public Transportation Tours,5.0 of 5 bubbles,1,$32.58,4–8 hours
479. 3-Hour Guided Musubi Japanese Home Cooking Class,Food & Drink,5.0 of 5 bubbles,1,$108.60,2–3 hours
"480. 3-hour Tokyo Good Old Bike Tour - Cycling to the Old towns, Asakusa & Ueno",City Tours,5.0 of 5 bubbles,1,$108.60,180–195 minutes
"481. Tokyo Tours By Locals: Private & Tailored to You, See the City Unscripted",City Tours,5.0 of 5 bubbles,1,$868.79,6+ hours
482. Asakusa Personal Video & Photo with Kimono,Photo Shoots,4.0 of 5 bubbles,2,$267.88,1–2 hours
483. Tokyo Cherry Blossoms blooming spots E-bike 3 hour Tour,Historical Tours,4.0 of 5 bubbles,1,$94.12,3 hours
484. Private tour Tokyo - The Harmony of Modernity and Tradition,Unique Experiences,1.0 of 5 bubbles,1,$130.00,6+ hours
485. Home-style Okonomiyaki & Gyoza class and Local Supermarket Tour,Food & Drink,1.0 of 5 bubbles,1,$290.37,2–3 hours
486. Akihabara Anime Tour: Explore Tokyo’s Otaku Culture,Movie Tours,,,$68.78,1–2 hours
"487. Private Tokyo food scene 6 hour experience: Depatika, street food, izakaya",Unique Experiences,,,$72.40,6 hours
488. Tokyo Hidden Izakaya and Sake Small-Group Pub Tour with Local Guide,Spring Break,,,$97.74,2–3 hours
489. SAMURAI Workshop : Journey to the Spirit of the Samurai,Art Classes,,,$253.40,2 hours
490. Shibuya Official Walking Tour,City Tours,,,$105.59,80–100 minutes
491. Full-Day Accessible Tour of Tokyo for Wheelchair Users,City Tours,,,$57.92,6+ hours
492. International Shibuya Party Experience,Food & Drink,,,$253.40,2–3 hours
493. Private Market Tour and Cooking Lesson With a Tokyo Native Makiko in Her Home,Unique Experiences,,,"$1,013.59",4 hours
494. Experience the Stunning Nature of Mt.Fuji - Private Tour,Full-day Tours,,,$79.64,11–12 hours
495. Low-cost local pub & bar crawling,Food & Drink,,,$108.60,3 hours
496. Private Day Tour in Tokyo with Government-Licensed Guide,Public Transportation Tours,,,$193.07,6 hours
497. Morning Sumo Practice Viewing in Tokyo,Historical Tours,,,$65.16,3 hours
498. Tokyo Marriage Proposal Planning,Breakfast,,,$155.54,1 hour
499. Exciting Nikko - One Day Tour from Tokyo,Historical Tours,,,$74.58,6+ hours
500. Private Tokyo Cultural Sights Walking Tour,Historical Tours,,,$158.00,4–5 hours
501. Tokyo Food Tour Tsukiji Old Fish Market,Food & Drink,,,$10.86,2 hours
"502. Tokyo Shopping Tour with a Local: Unique & Quirky Stores, Private & Custom",City Tours,,,$166.52,5 hours
503. Tokyo Asakusa Half Day Walking Tour with Local Guide,Historical Tours,,,$231.68,2–3 hours
504. Asakusa & Ueno (Ameyoko)Tour,Rail Tours,,,$195.00,5–7 hours
505. Vegan / Vegatarian Ramen Tour,Food & Drink,,,$50.00,2 hours
506. Private Full-Day Kamakura Tour of Tokyo and Hokoku-ji Temple,Historical Tours,,,$500.00,6+ hours
507. Tokyo Haneda Airport (HND) to Tokyo hotel/address - Round-Trip Private Transfer,Transportation Services,,,"$1,042.55",50 minutes
508. Historic Temple・traditional Japanese garden＆ Eating around at a shopping strip,Rail Tours,,,$180.00,4–6 hours
509. Drinks with Geisha,Food & Drink,,,$70.08,1–2 hours
"510. Nikko Tour, from/to Tokyo City and TDR Area",Full-day Tours,,,$321.76,11–12 hours
"511. Day Trip to Mt. Fuji, Kawaguchiko and Mt. Fuji Panoramic Ropeway",Bus Tours,,,$41.00,6+ hours
512. Tokyo life after 5 - Foods & Drinks,Food & Drink,,,$108.60,3 hours
513. Private tour with Yasushi and Yoko,Public Transportation Tours,,,$868.79,6+ hours
514. TOKYO Hiking & Onsen & Japanese food,Adventure Tours,,,$78.48,5 hours
515. Tokyo PRO private Photoshoot,Photo Shoots,,,$123.41,2 hours
516. Departure Transfer from Tokyo City to Haneda Airport HND by van,Transportation Services,,,$159.28,30 minutes
517. Ramen and Gyoza Cooking Class in Central Tokyo,Food & Drink,,,$927.44,3 hours
518. Learn and Train with Samurai in Tokyo [ONLINE],Sports Lessons,,,$39.23,1 hour
519. Samurai Experience Mugai Ryu Iaido in Tokyo,Sports Lessons,,,$94.12,1 hour
520. Private Full-Day Hakone Tour from Tokyo Including Owakudani Valley,Rail Tours,,,$161.29,6+ hours
521. Shinjuku And Golden Gai Best Food Tour With A Master local Guide,Coffee & Tea Tours,,,$70.08,4 hours
522. Personal prayer at Meiji Shrine!,Historical Tours,,,$94.12,1–2 hours
523. Tokyo Private Chauffeur-English Speaking Driver Option,Transportation Services,,,$79.64,5–10 hours
524. Kamakura Full Day Tour with Licensed Guide and Vehicle from Tokyo,Bus Tours,,,$556.03,6+ hours
525. Asakusa Historical And Cultural Food Tour With A Friendly Guide,Food & Drink,,,"$1,031.69",4 hours
526. Traditional Furoshiki Cloth Wrapping Experience,Craft Classes,,,"$1,486.60",1–2 hours
527. Cherry Blossom Tour Tokyo with a Local Guide: Custom & Private,City Tours,,,$600.00,4 hours
"528. Cycling along the awesome coast of Odaiba, morning & evening",Bike Tours,,,$101.36,3–4 hours
529. Snap Photo in New Tokyo,Photo Shoots,,,$39.31,1 hour
"530. Kamakura Tour, from/to Tokyo City, Yokohama City and TDR Area",Full-day Tours,,,$28.96,6+ hours
531. Just Moved: Tokyo For New Residents,City Tours,,,$526.10,3 hours
532. Tokyo Local Fashion Designers Shopping Tour with a Stylist,Fashion Tours,,,$175.23,3 hours
533. Explore Unique Tokyo Streets / Learn with a Pro Photographer,Art Classes,,,$111.50,2 hours
534. Full-Day Enoura Observatory and Hakone Hot Spring Private Tour,Bus Tours,,,$108.60,8–10 hours
535. NIKKO PASS All Area,Transportation Services,,,$253.40,1–2 days
536. Japanese Sample Food Making Experience,Public Transportation Tours,,,"$3,619.97",3 hours
537. Tokyo by Night Photoshoot & Learn,Photo Shoots,,,$54.30,2–3 hours
538. Shamisen Playing Experience,Music Classes,,,$143.35,1 hour
539. Vegan Adventure,Adventure Tours,,,$977.39,4 hours
540. Private Food Tour in Downtown Yanesen and Nezu Shrine,Food & Drink,,,$253.40,3–4 hours
541. Tokyo Supercars Daikoku Driving Experience,Luxury Car Tours,,,$977.39,3 hours
542. Mount Fuji Five Lakes Tour from Tokyo with Guide & Vehicle,Historical Tours,,,$72.40,6+ hours
"543. Private 4-Day Tokyo and Kyoto: Tsukiji Market, Gion",Bike Tours,,,$159.28,3+ days
544. 2-Day Tour-The Best of Japan,Historical Tours,,,$350.46,2 days
545. Mt.Fuji & Fruit Picking & Hakone Pirate Ship & Ropeway Day Tour,Full-day Tours,,,$106.34,6+ hours
546. Private Transfer from Tokyo city hotels to Tokyo Cruise Port,Transportation Services,,,$152.04,45 minutes
547. Private Tokyo Shinjuku Bus Tour with Licensed Guide,Bus Tours,,,$55.69,2 hours
548. Tokyo Private Customize Tour with English Speaking Driver,Historical Tours,,,$25.34,6+ hours
549. Tokyo Private Transfer from Haneda (HND) airport to central Tokyo,Transportation Services,,,$117.87,1 hour
550. Tea Tasting & Japanese Sweets-Making Experience,Food & Drink,,,$217.20,2 hours
"551. Candid vintage photo, cafe, shopping, walking, experience w LOCAL",Rail Tours,,,$57.08,2–5 hours
552. Sushi Masterclass Tokyo,Food & Drink,,,$70.08,1–2 hours
"553. TOKYO, MT FUJI , OSAKA, KYOTO 4 DAYS Tour 1-9 Person BY Car",Transportation Services,,,$231.68,10–11 hours
554. Asakusa: 2-hour history exploration,Historical Tours,,,$181.00,2 hours
555. Full-Day Panoramic Bus Tour in Tokyo with Bay Cruise,Audio Guides,,,$183.34,6+ hours
"556. Mt.Fuji & Gotemba Outlet from/to Tokyo, Yokohama City",Full-day Tours,,,$33.70,6+ hours
557. 1 Day Mount Nokogiri Hiking Tour from Tokyo,Likely To Sell Out,,,$199.10,6+ hours
558. Private & Custom TOKYO Day Tour Toyota COMMUTER (Max 13 Pax),Bus Tours,,,$325.80,8–10 hours
559. Private Tour Akihabara Adventure Explore Tokyo's Electric Town,Walking Tours,,,$181.00,3–4 hours
560. Asakusa: TOKYO SKYTREE exploration after history tour,Audio Guides,,,$181.00,3–4 hours
561. Private Transfer: Tokyo to Haneda Airport HND in Luxury Van,Transportation Services,,,$86.88,30 minutes
562. Tokyo DisneySea Private Transfer : from Tokyo to DisneySea (One Way),Transportation Services,,,$167.42,50–70 minutes
563. Kawagoe Full-Day Private Trip with Government-Licensed Guide,Public Transportation Tours,,,$150.00,6 hours
564. Setagaya Cat Tour!,Food & Drink,,,$441.45,3 hours
565. Japanese Papier-Mâché Painting Experience in Taito,Craft Classes,,,$130.32,45 minutes
566. Family-friendly Write your Japanese Name & Learn Trip-Phrases,Japanese Lessons,,,$218.65,1–2 hours
567. Lunch at Tsukiji Market Tour,Breakfast,,,$118.81,2–3 hours
568. Harajuku Kawaii Tour(Private Tour),Shopping Tours,,,$65.35,3 hours
569. Japanese autumn lunch,Food & Drink,,,"$1,599.00",3–4 hours
570. Koto Playing Experience,Music Classes,,,$144.80,1 hour
571. 1 Day Walking Tour strolling Tsukiji Market and Meiji Shrine Including Asakusa,Historical Tours,,,$36.76,6+ hours
572. Tokyo Private Custom Tour With Water Bus Ride,Rail Tours,,,$579.20,6+ hours
573. Transfer in private vehicle from Tokyo Narita Airport to Tokyo City Center,Transportation Services,,,$94.12,1–2 hours
574. Private Transfer from Tokyo Port to Tokyo Narita Int Airport(NRT),Transportation Services,,,$74.58,1–2 hours
575. Enjoy Wonderful Wagyu And Sake In Shinjuku,Food & Drink,,,"$1,380.70",3 hours
576. Toyosu Market and Tuna Cutting Workshop Small Group Guided Tour,Food & Drink,,,$163.36,4 hours
"577. Tokyo highlights, Asakusa, Ueno, Yanaka Walking",Rail Tours,,,$692.86,6–7 hours
578. Roppongi Japanese Kimono Experience,Art Classes,,,$43.44,2 hours
579. Asakusa: Food replica store visits after history tour,Shopping Tours,,,$181.00,3–4 hours
"580. Tokyo Hippest Neighborhood Tour, Sangenjaya with a Local, Private Custom",City Tours,,,$2.90,3 hours
581. Sommelier Guided Pairing: Regional Japanese Food & Craft Beer,Food & Drink,,,$297.02,3 hours
582. Ashikaga Flower Park Private Day Tour,Bus Tours,,,$36.20,6+ hours
583. Professional photo shooting tour around Tokyo.,Fashion Tours,,,$289.60,5–8 hours
584. Private Full-Day Tour of Tokyo with Hotel Pickup,Full-day Tours,,,$37.65,6+ hours
585. Find out tasty and historical places,Historical Tours,,,$81.81,8–9 hours
586. Fruit cutting & vegetable fruit carving,Food & Drink,,,$72.40,1 hour
"587. 6 Days Japan Kanto, Kansai Deluxe Tour",Audio Guides,,,$94.12,3+ days
588. Tour with Pro Tokyo Photographer and take Edgy Unique Portraits,Fashion Tours,,,"$1,100.47",1–2 hours
"589. Recommended Delicious Ginza Food Tour, The Largest Congregation of Food Markets",Food & Drink,,,$325.80,3 hours
590. Mt. Fuji: 2-Day sunrise/sunset tour With English driver,Bus Tours,,,$220.00,2 days
591. Japanese sword cutting experience,Sports Lessons,,,$625.00,1–2 hours
592. Private Transfer from Haneda Airport HND to Tokyo City by van,Transportation Services,,,$657.60,30 minutes
"593. 3-Day Private Tokyo and Nagano: Snow Monkeys, Tsukiji Market and Bullet Train",Rail Tours,,,$180.50,3 days
594. Tailored Private Tour with a Licensed Tour Guide,Food & Drink,,,$108.60,4–8 hours
595. Explore the Culture and History of Nikko with this Private Tour,Adventure Tours,,,"$3,619.97",8–10 hours
596. [NEW!]Asakusa Culture＆Local Walking Tour,Food & Drink,,,$110.77,1–2 hours
"597. Tokyo highlights, Meiji shrine, Asakusa, Ueno & Tokyo National Museum",Rail Tours,,,$126.70,7–8 hours
598. Private Baggage Storage in Harajuku,Luggage Storage,,,$18.10,6+ hours
599. Tokyo Photo Shooting,Photo Shoots,,,$111.18,1 hour
600. Lets Make a Zabuton Try Cotton Stuffing with Futon Craftsman,Craft Classes,,,$159.28,2 hours
601. Japanese-inspired Themed Photoshoot in Tokyo,Photo Shoots,,,$89.86,2–3 hours
602. 1 Hour Small Group Shuffle Dance Class in Tokyo,Dance Lessons,,,$57.92,1 hour
603. Samurai Sword Experience in Asakusa Tokyo,Sports Lessons,,,$144.80,45 minutes
604. A gourmet day in Tokyo : traditional sweets and desserts.,Food & Drink,,,$101.36,6+ hours
605. Private Workshop of Handmade Traditional Japanese Paper in Tokyo,Craft Classes,,,$18.00,3 hours
606. Crazy about Anime! Private Full Day Tokyo Manga Anime Tour by Chartered Vehicle,Bus Tours,,,$182.00,6+ hours
607. Ryogoku sumo town history / culture and chanko-nabe lunch,Food & Drink,,,$18.00,3–4 hours
608. Tokyo Guide Highlight,Rail Tours,,,$108.60,6–7 hours
609. Transfer in Private Minivan from Tokyo Narita Airport to City Center,Transportation Services,,,$182.00,1–2 hours
610. Full-day Private Exploration in Mount Fuji,Full-day Tours,,,$160.00,6+ hours
611. Mount Fuji Private Custom Tour from Tokyo,Full-day Tours,,,$86.88,6+ hours
"612. Tokyo Tour Off-the-Beaten-Path, Shimokitazawa with a Local, Private Custom",City Tours,,,$130.32,3 hours
613. Tokyo shitamachi tour (old town walk),Historical Tours,,,$115.84,6 hours
614. Kimono wedding photo shot in Shrine ceremony and garden,Fun & Games,,,$89.99,4 hours
615. Asakusa: Family-Oriented Private Tour with Amusement Park Visit,Historical Tours,,,$120.00,3–4 hours
616. Tokyo Full Day Explorer Walking Tour,Unique Experiences,,,"$1,200.00",6+ hours
617. Tokyo Meguro River Private Cultural Tour with Licensed Guide,Historical Tours,,,$193.00,1–2 hours
"618. Private Tokyo Tour, Build Your Own Itinerary with a Local Matched to You",Day Trips,,,$723.99,4–8 hours
619. 6-hour Kamakura tour by qualified guide using public transportation,Historical Tours,,,$202.72,6 hours
620. Private Luxury Transfer from Tokyo Hotels to Yokohama Cruise Port,Transportation Services,,,$18.00,40 minutes
621. Cutting Edge Subculture music Scene Guided Tour,Art Tours,,,$723.99,2–5 hours
622. Official Street Go-Kart Tour - Shinagawa Shop,Go Kart,,,$718.98,2–4 hours
623. Yanaka and Asakusa Walk around DOWNTOWN TOKYO like a local,Historical Tours,,,$173.76,3–4 hours
624. Tokyo Online: Green Teatime in Japan,Food & Drink,,,$533.95,1 hour
625. Flavors of Japan Food Tour in Tokyo,Coffee & Tea Tours,,,$37.13,3 hours
626. Tokyo Online: Virtual Experience in Shibuya and Shinjuku with a Local Expert,Food & Drink,,,$723.99,1 hour
627. Tokyo West-Side Walking & Street Food Tour,Food & Drink,,,$37.13,2 hours
628. Old Town Tokyo Food Tour,Coffee & Tea Tours,,,"$10,548.00",3 hours
629. Tokyo The Izakaya tour,Food & Drink,,,$144.80,3–4 hours
630. 5-hour Tokyo Historical Bike Tour through Imperial Palace & Tsukiji,Day Trips,,,"$6,748.00",270–300 minutes
631. Tokyo Food and Culture tour (Shibuya and Harajyuku),Food & Drink,,,"$8,948.00",4–5 hours
"632. Hello Tokyo Walking Tour: Meiji Jingu, Senso-ji and Harajuku",Historical Tours,,,$6.52,3 hours
633. Experience Award-Winning Spa Treatments in Downtown Tokyo,Spas,,,$18.00,3 hours
634. Ramen cooking experience with Gyoza and other side dishes,Food & Drink,,,$155.66,3–4 hours
635. Full-day Bus Tour in Mt. Fuji from Tokyo,Historical Tours,,,$59.37,6+ hours
636. Mt Fuji day trip from Tokyo by charted vehicle,Full-day Tours,,,$215.45,6+ hours
637. Retro Shibuya Food Tour,Adventure Tours,,,$152.04,3 hours
638. Sushi Cooking Class,Unique Experiences,,,$72.40,3 hours
639. Master Tokyo's public transport and visit hidden neighborhoods,Historical Tours,,,$83.26,3–4 hours
640. Cocktail Connections: Online Happy Hour in Japan,Food & Drink,,,$36.20,1 hour
641. Tofu cooking class,Unique Experiences,,,$362.00,3 hours
642. VIP: Mt Fuji Private Tour with Sengen Shrine Visit from Tokyo,Bus Tours,,,$369.00,6+ hours
643. Tokyo Half-day Walking Tour Including 3 Major Sights,Historical Tours,,,"$3,538.00",5 hours
644. Hida Private E-Bike Tour with Premium Lunch and Farm Experience,E-Bike Tours,,,$188.06,6+ hours
645. Experience local life in Yoyogi Uehara,Historical Tours,,,$83.26,2 hours
646. Japanese Cooking Class for Vegans,Restaurants,,,$173.76,3 hours
647. Shimokitazawa local neighborhood walk and bar hopping,Historical Tours,,,"$5,498.00",2 hours
648. Discover Japan Tour: 15-day Small Group,Rail Tours,,,$34.00,3+ days
649. Asakusa: Live music performance over traditional dinner,Historical Tours,,,$55.69,4 hours
650. Highlights of Japan Tour: 10-day Small Group,Rail Tours,,,$177.48,3+ days
651. Explore Japan Tour: 12-day Small Group,Rail Tours,,,"$1,013.59",3+ days
652. Toyo Bunko Entrance Ticket,Museums,,,$72.40,1 hour
653. Tokyo Online: Top 5 Japanese Foods,Food & Drink,,,$742.50,1 hour
654. Tokyo private tour using subway: Discover traditional and modern Japan!,Architecture Tours,,,$370.00,6+ hours
655. Japanese Replica Food Making in Asakusa w. ENG guide,Unique Experiences,,,$115.84,1 hour
656. Private Tokyo Food Tour - Retro Akabane Izakaya Experience,Unique Experiences,,,$868.79,4 hours
657. Tokyo Landmarks Water Bus Cruise Private Tour with Government-Licensed Guide,Cable Car Tours,,,$173.57,6 hours
658. Chara-ben (Character Lunch Box) Making,Food & Drink,,,$39.82,2–3 hours
659. Retro Food Tour in Yanaka,Food & Drink,,,$159.28,2–3 hours
660. 【30minutes】Matsuchiyama Temple Rickshaw Tour in Asakusa,City Tours,,,$77.32,30 minutes
661. Samurai photo shooting at Street in Shibuya,Unique Experiences,,,$182.00,2 hours
662. Nakameguro Day Trip,Food & Drink,,,$146.72,4 hours
663. 7-Day Guided Tokyo Baseball Tour,Rail Tours,,,$23.00,3+ days
664. Mt Fuji/Hakone Day Trip Private tour,Bus Tours,,,$564.00,6+ hours
"665. Cherry Blossom ! Five-Story Pagoda,Mt. Fuji 5th Station,Panoramic Ropeway",Audio Guides,,,"$1,400.00",6+ hours
666. Asakusa: Culture exploring bar visits after history tour,Historical Tours,,,$154.70,4 hours
667. Intro to Japan Tour: 8-day Small Group,Rail Tours,,,$700.00,3+ days
668. 2-Hour Private Sake Tasting Workshop in Koto City of Japan,Food & Drink,,,$66.83,2 hours
669. Meet the lucky cats in suburban Tokyo: Gotokuji Walking Tour,Historical Tours,,,$18.10,3–4 hours
670. The Flavors of Shibuya Private Tour: Sushi & Sake,Food & Drink,,,$181.00,2–3 hours
"671. Mt.Fuji&Hakone Tour, from/to Yokohama City, Tokyo City and TDR",Bus Tours,,,$15.93,11–12 hours
672. Tokyo Yukata Kimono Bondance Experience,Full-day Tours,,,$65.16,6–7 hours
"673. Private Hakone Tour - View of Mt. Fuji, Nature and Culture",Cable Car Tours,,,$144.80,6+ hours
674. Starter tour in Tokyo _Visiting must-see spots and practical guidance,Day Trips,,,$235.30,6 hours
675. Mt. Fuji & Arakurayama Sengen Park Bus Tour - From Tokyo,Historical Tours,,,$687.80,6+ hours
676. For BUSINESS TRAVELER - Business+Leisure with JPY⇄ENG INTERPRETER Service,Rail Tours,,,$554.58,6+ hours
677. Traditional Antiques Market Tour Tokyo,Art Tours,,,$164.55,2–3 hours
"678. Myojin Show Rakuza - Traditional Rakugo, Juggling and Magic show",Language Classes,,,$195.00,1–2 hours
679. Private Kimono Photo Tour in Tokyo,Fashion Tours,,,$738.47,3 hours
680. The Ultimate Sushi Making Experience,Food & Drink,,,"$18,534.27",2–3 hours
681. Super Sugamo Local Foodie Adventure,Adventure Tours,,,$38.26,3 hours
682. Tokyo Christmas Tour with a Local Guide: Private & Tailored to You,Unique Experiences,,,$716.75,3–8 hours
683. Tsukiji Market Neighborhood Live Online Tour,Food & Drink,,,$231.68,1 hour
684. Bullet Train and Mt. Fuji Famous Food Tour,Architecture Tours,,,$564.72,6 hours
685. A day tour to Nikko from Tokyo by chartered car,Bus Tours,,,$60.33,6+ hours
686. Tokyo walking tasting tour with Secret Food Tours (Private Tour),Food & Drink,,,$651.60,3–4 hours
687. Mt Fuji Private Customize Tour by Van,Transportation Services,,,$118.35,6–10 hours
688. Half-day Kawagoe Walking Tour,Historical Tours,,,$141.18,4 hours
689. Tokyo Update - Online Tour on travel tips with licensed guide,City Tours,,,$159.28,1 hour
"690. Tokyo Highlights, Shibamata, Temple of Wood Carving, Japanese Style House",City Tours,,,$39.82,6–7 hours
691. CA-GO Delivery Service,Transportation Services,,,$94.12,5 hours
692. Tokyo kawaii tour near shinjuku shibuya harajuku,Food & Drink,,,$159.28,2 hours
693. Wagyu and Sushi : Tokyo Gastronomic Journey,Food & Drink,,,$398.20,3 hours
694. Smappa!Group and Licensed Guide Kabukicho Shinjuku Nite Experience Tour(Tokyo),Beer & Brewery Tours,,,$243.19,3 hours
695. For FAMILY with BABY & KID - ONE DAY Tokyo Unmissable Places Custom-Made Tour,Food & Drink,,,$295.00,6+ hours
"696. Tokyo Shore Excursion with a Local Guide, Private & Tailored to You",City Tours,,,$22.28,6+ hours
697. Tokyo Private Transport 1 Day Tour,Bus Tours,,,$289.60,6+ hours
698. KANPAI and KARAOKE,Food & Drink,,,$217.20,3 hours
699. Hakone Gotemba Tour Tokyo DEP: English Speaking Driver Only,Bus Tours,,,$375.00,6+ hours
700. Shimbashi Walking Food Tour With a local Guide In Tokyo,Food & Drink,,,$74.58,4 hours
701. Private Narita Airport (NRT) Transfers for Tokyo 23 Wards（10 Seater）,Transportation Services,,,"$9,995.00",60–90 minutes
702. Tokyo tours,Historical Tours,,,$143.35,6+ hours
703. 30-Minute Supercar Driving Experience,Rentals,,,$322.67,30 minutes
704. Tokyo Half-day Customized Private Tour,Public Transportation Tours,,,$149.12,4 hours
705. Kamakura Tour,Bus Tours,,,$78.63,6–8 hours
"706. Private Evening Tour of Tokyo's Historic Wild Side, Yoshiwara",Food & Drink,,,$40.00,3 hours
707. Kamakura Full Day Tour English speaking by Car,4WD Tours,,,$39.82,6+ hours
708. Food & Drink Tour (Shinjuku-Eastside),Food & Drink,,,$213.49,2–3 hours
709. Tokyo Wagashi-Making Class with Tea,Unique Experiences,,,$37.13,2–3 hours
710. From Market to Meal,Food & Drink,,,$101.36,4–5 hours
711. Classic Asakusa Walking Tour with Japanese Experience!,Walking Tours,,,$250.00,3 hours
712. Gallery hopping in Tokyo: Ginza-stylish architectures and hidden charms,Architecture Tours,,,$328.81,3–4 hours
713. Private Vintage Tintype Portraits Experience in Tokyo,Art Classes,,,$18.10,2 hours
714. For FAMILY with BABY & KID - HALF DAY Tokyo Unmissable Places Custom-Made Tour,Food & Drink,,,$148.51,4 hours
715. Private Tea Ceremony with Kimono in a Traditional Japanese Garden,Food & Drink,,,$299.00,4 hours
716. 2 Hour Photo Shoot Tour Tokyo and Surrounding,Photo Shoots,,,$90.50,2 hours
717. Self drawing kanji on lantan to bring home with Japanese sweets,Craft Classes,,,$318.56,60–90 minutes
"718. [electric bicycle tour]: 6-hour travel course by electric bicycle Asakusa, Ueno Park, Edo-Tokyo Museum, and Sky Tree. (There is a support car.)",Historical Tours,,,$47.78,6–7 hours
719. Watch the Young Geisha do their makeup and Get Ready!,Art Classes,,,$94.12,1 hour
720. Essential tour for fashion and art in Tokyo for 6 hours with local lunch,Architecture Tours,,,$52.79,6 hours
751. Departure Private Transfer from Tokyo City to Haneda Airport HND by Business Car,Transportation Services,,,$130.32,25 minutes
752. Essence of Sakura Cherry Blossom Photography Tour,Nature and Wildlife Tours,,,$629.88,3+ days
753. Ninja Experience (with Costume Wearing),Sports Lessons,,,$196.26,1–2 hours
754. Round trip transfer in private car from-to Narita Airport in Tokyo City Center,Transportation Services,,,$195.48,1–2 hours
755. Hakone for Children to Enjoy! Japanese Crafts Experience From Tokyo,Rail Tours,,,$297.02,6+ hours
756. Tokyo Haneda Airport (HND) to Ikahomachi Ikaho - Arrival Transfer,Transportation Services,,,$199.10,2–3 hours
"757. 【Free Haori lend, photo & Japanese gifts】Walking tour in Asakusa & Tokyo Skytree",Historical Tours,,,$181.00,120–150 minutes
758. Shodō Creative Japanese Calligraphy Experience,Art Classes,,,$144.80,45 minutes
"759. Authentic ""Chaji"" Matcha Ceremony Experience and Kaiseki Lunch in Tokyo",Lunch,,,$101.36,2–3 hours
760. Tokyo Ikebana Experience,Art Classes,,,$167.81,1–2 hours
"761. walking the only valley in Tokyo, Eat and Compare Hot Pot Dishes.",Food & Drink,,,$181.00,3 hours
"762. Tokyo Customized All Day Tour Guide See, Taste, Feel local",Food & Drink,,,$166.52,4–8 hours
763. Private Walking Tour of Tokyo with a water bus ride,Historical Tours,,,$133.33,6+ hours
